dataset,alpha,method,seed,version,removed_fact_count,kept_fact_count,removed_true_count,removed_false_count,kept_true_count,kept_false_count,removed_true_indep_count,removed_false_indep_count,removed_true_dep_count,removed_false_dep_count,kept_true_indep_count,kept_false_indep_count,kept_true_dep_count,kept_false_dep_count,released_block_pair_count,released_wrong_block_pair_count,released_correct_block_pair_count,remaining_wrong_block_pair_count,effective_wrong_block_pair_count,dag_F1,dag_SHD,dag_SID,cpdag_F1,cpdag_SHD,cpdag_SID_low,cpdag_SID_high,elapsed_sec,remove_n,fully_released_pair_count_reported,block_edge_mode
earthquake,alpha005,ABAPC (nor),8266,bnlearn_abapc_nor_matched10_others_gsq_graphmetrics,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.05695652961730957,0,0,
earthquake,alpha005,ABAPC (bb),183,bnlearn_abapc_bb_matched10_others_gsq_searchv3_graphmetrics,1,55,1,0,53,2,1,0,0,0,5,0,48,2,1,0,1,0,0,0.8889,1.0,0.0,0.8889,1.0,0.0,14.0,0.3568441867828369,1,0,dynamic
earthquake,alpha005,ABAPC (bb),316,bnlearn_abapc_bb_matched10_others_gsq_searchv3_graphmetrics,0,58,0,0,57,1,0,0,0,0,9,0,48,1,0,0,0,0,0,0.8889,1.0,0.0,0.8889,1.0,0.0,9.0,0.07476258277893066,0,0,dynamic
earthquake,alpha005,ABAPC (bb),2494,bnlearn_abapc_bb_matched10_others_gsq_searchv3_graphmetrics,5,54,4,1,54,0,4,0,0,1,4,0,50,0,2,0,2,0,0,0.0,6.0,18.0,0.4,4.0,0.0,18.0,0.604280948638916,5,0,dynamic
earthquake,alpha005,ABAPC (bb),2656,bnlearn_abapc_bb_matched10_others_gsq_searchv3_graphmetrics,3,56,1,2,56,0,1,1,0,1,7,0,49,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.46926021575927734,3,0,dynamic
earthquake,alpha005,ABAPC (bb),2688,bnlearn_abapc_bb_matched10_others_gsq_searchv3_graphmetrics,0,58,0,0,57,1,0,0,0,0,9,0,48,1,0,0,0,0,0,0.8889,1.0,0.0,0.8889,1.0,0.0,9.0,0.07647967338562012,0,0,dynamic
earthquake,alpha005,ABAPC (bb),3199,bnlearn_abapc_bb_matched10_others_gsq_searchv3_graphmetrics,2,57,2,0,56,1,2,0,0,0,6,0,50,1,0,0,0,0,0,0.8889,1.0,0.0,0.8889,1.0,0.0,14.0,0.42178964614868164,2,0,dynamic
earthquake,alpha005,ABAPC (bb),3578,bnlearn_abapc_bb_matched10_others_gsq_searchv3_graphmetrics,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0820302963256836,0,0,dynamic
earthquake,alpha005,ABAPC (bb),7816,bnlearn_abapc_bb_matched10_others_gsq_searchv3_graphmetrics,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.08029961585998535,0,0,dynamic
earthquake,alpha005,ABAPC (bb),7977,bnlearn_abapc_bb_matched10_others_gsq_searchv3_graphmetrics,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.07445478439331055,0,0,dynamic
earthquake,alpha005,ABAPC (bb),8266,bnlearn_abapc_bb_matched10_others_gsq_searchv3_graphmetrics,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.06945919990539551,0,0,dynamic
earthquake,alpha005,ABAPC (bb-nor),183,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,8,48,6,2,48,0,5,0,1,2,1,0,47,0,5,0,5,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.27153682708740234,8,0,frozen_initial
earthquake,alpha005,ABAPC (bb-nor),316,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,0,58,0,0,57,1,0,0,0,0,9,0,48,1,0,0,0,0,0,0.8889,1.0,0.0,0.8889,1.0,0.0,9.0,0.0780332088470459,0,0,frozen_initial
earthquake,alpha005,ABAPC (bb-nor),2494,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,5,54,4,1,54,0,4,0,0,1,4,0,50,0,2,0,2,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.2723519802093506,5,0,frozen_initial
earthquake,alpha005,ABAPC (bb-nor),2656,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,3,56,1,2,56,0,1,1,0,1,7,0,49,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.2647101879119873,3,0,frozen_initial
earthquake,alpha005,ABAPC (bb-nor),2688,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,0,58,0,0,57,1,0,0,0,0,9,0,48,1,0,0,0,0,0,0.8889,1.0,0.0,0.8889,1.0,0.0,9.0,0.07912087440490723,0,0,frozen_initial
earthquake,alpha005,ABAPC (bb-nor),3199,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,2,57,2,0,56,1,2,0,0,0,6,0,50,1,0,0,0,0,0,0.8889,1.0,0.0,0.8889,1.0,0.0,14.0,0.2740776538848877,2,0,frozen_initial
earthquake,alpha005,ABAPC (bb-nor),3578,bnlearn_abapc_bb_norapprox_matched10_others_gsq_searchv3_graphmetrics,0,54,0,0,54,0,0,0,0,0,6,0,48,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.06852602958679199,0,0,frozen_initial
