n_nodes,n_edges,model,seed,elapsed,nnz,fdr,tpr,fpr,precision,recall,F1,shd,sid_low,sid_high
7,7,FGS,3595,0.11932682991027832,8,0.75,0.2857,0.4286,0.125,0.1429,0.1333,12.0,19.0,32.0
7,7,FGS,4187,0.11386251449584961,5,1.0,0.0,0.3571,0.0,0.0,,10.0,21.0,22.0
7,7,FGS,4135,0.11644124984741211,5,0.6,0.2857,0.2143,0.0,0.0,,9.0,21.0,25.0
7,7,FGS,5174,0.11579656600952148,5,0.8,0.1429,0.2857,0.0,0.0,,11.0,19.0,24.0
7,7,FGS,5303,0.11999130249023438,7,0.7143,0.2857,0.3571,0.1429,0.1429,0.1429,12.0,8.0,20.0
7,7,FGS,3942,0.1150963306427002,5,0.6,0.2857,0.2143,0.4,0.2857,0.3333,9.0,18.0,25.0
7,7,FGS,2778,0.11432528495788574,5,0.8,0.1429,0.2857,0.2,0.1429,0.1667,11.0,14.0,22.0
7,7,FGS,2804,0.15026068687438965,8,0.5,0.5714,0.2857,0.25,0.2857,0.2667,7.0,10.0,28.0
7,7,FGS,2145,0.1175997257232666,6,0.8333,0.1429,0.3571,0.1667,0.1429,0.1538,11.0,28.0,29.0
7,7,FGS,150,0.11415600776672363,5,1.0,0.0,0.3571,0.0,0.0,,11.0,23.0,24.0
7,7,FGS,8823,0.12067961692810059,7,1.0,0.0,0.5,0.0,0.0,,13.0,25.0,25.0
7,7,FGS,4669,0.12035274505615234,6,0.0,0.8571,0.0,0.6667,0.5714,0.6154,2.0,5.0,28.0
7,7,FGS,6131,0.11589360237121582,6,1.0,0.0,0.4286,0.0,0.0,,10.0,38.0,38.0
7,7,FGS,2617,0.11345458030700684,4,0.75,0.1429,0.2143,0.25,0.1429,0.1818,10.0,23.0,37.0
7,7,FGS,7166,0.11623740196228027,5,0.4,0.4286,0.1429,0.2,0.1429,0.1667,6.0,13.0,28.0
